"","x"
"1327","SNU719"
"1328","NCC24"
"1329","SNU719"
"1330","SNU719"
"1331","SNU719"
"1332","SNU719"
"1333","SNU719"
"1334","SNU719"
"1335","SNU719"
"1336","SNU719"
"1337","SNU719"
"1338","SNU719"
"1339","SNU719"
"1340","NCC24"
"1341","SNU719"
"1342","SNU719"
"1343","SNU719"
"1344","SNU719"
"1345","SNU719"
"1346","SNU719"
"1347","SNU719"
"1348","NCC24"
"1349","SNU719"
"1350","SNU719"
"1351","NCC24"
"1352","SNU719"
"1353","NCC24"
"1354","NCC24"
"1355","NCC24"
"1356","NCC24"
"1357","SNU719"
"1358","NCC24"
"1359","NCC24"
"1360","SNU719"
"1361","SNU719"
"1362","SNU719"
"1363","NCC24"
"1364","SNU719"
"1365","SNU719"
"1366","SNU719"
"1367","SNU719"
"1368","SNU719"
"1369","SNU719"
"1370","SNU719"
"1371","NCC24"
"1372","NCC24"
"1373","NCC24"
"1374","NCC24"
"1375","SNU719"
"1376","SNU719"
"1377","SNU719"
"1378","SNU719"
"1379","SNU719"
"1380","SNU719"
"1381","SNU719"
"1382","SNU719"
"1383","SNU719"
"1384","SNU719"
"1385","NCC24"
"1386","NCC24"
"1387","SNU719"
"1388","NCC24"
"1389","SNU719"
"1390","SNU719"
"1391","SNU719"
"1392","SNU719"
"1393","SNU719"
"1394","SNU719"
"1395","NCC24"
"1396","NCC24"
"1397","SNU719"
"1398","SNU719"
"1399","SNU719"
"1400","SNU719"
"1401","SNU719"
"1402","NCC24"
"1403","NCC24"
"1404","SNU719"
"1405","SNU719"
"1406","SNU719"
"1407","SNU719"
"1408","NCC24"
"1409","SNU719"
"1410","SNU719"
"1411","NCC24"
"1412","SNU719"
"1413","SNU719"
"1414","SNU719"
"1415","SNU719"
"1416","NCC24"
"1417","NCC24"
"1418","NCC24"
"1419","SNU719"
"1420","NCC24"
"1421","SNU719"
"1422","SNU719"
"1423","SNU719"
"1424","SNU719"
"1425","SNU719"
"1426","SNU719"
"1427","NCC24"
"1428","SNU719"
"1429","SNU719"
"1430","NCC24"
"1431","SNU719"
"1432","SNU719"
"1433","SNU719"
"1434","SNU719"
