"","x"
"1366","NCC24"
"1367","NCC24"
"1368","SNU719"
"1369","SNU719"
"1370","SNU719"
"1371","SNU719"
"1372","SNU719"
"1373","NCC24"
"1374","SNU719"
"1375","NCC24"
"1376","NCC24"
"1377","SNU719"
"1378","SNU719"
"1379","SNU719"
"1380","SNU719"
"1381","SNU719"
"1382","SNU719"
"1383","SNU719"
"1384","SNU719"
"1385","SNU719"
"1386","NCC24"
"1387","SNU719"
"1388","SNU719"
"1389","NCC24"
"1390","SNU719"
"1391","NCC24"
"1392","SNU719"
"1393","SNU719"
"1394","SNU719"
"1395","SNU719"
"1396","SNU719"
"1397","NCC24"
"1398","SNU719"
"1399","SNU719"
"1400","SNU719"
"1401","SNU719"
"1402","SNU719"
"1403","NCC24"
"1404","NCC24"
"1405","SNU719"
"1406","SNU719"
"1407","SNU719"
"1408","SNU719"
"1409","NCC24"
"1410","SNU719"
"1411","NCC24"
"1412","NCC24"
"1413","SNU719"
"1414","SNU719"
"1415","SNU719"
"1416","SNU719"
"1417","SNU719"
"1418","SNU719"
"1419","SNU719"
"1420","SNU719"
"1421","NCC24"
"1422","NCC24"
"1423","SNU719"
"1424","SNU719"
"1425","NCC24"
"1426","NCC24"
"1427","SNU719"
"1428","SNU719"
"1429","NCC24"
"1430","NCC24"
"1431","SNU719"
"1432","NCC24"
"1433","NCC24"
"1434","SNU719"
"1435","NCC24"
"1436","SNU719"
"1437","SNU719"
"1438","SNU719"
"1439","SNU719"
"1440","SNU719"
"1441","SNU719"
"1442","SNU719"
"1443","NCC24"
"1444","NCC24"
"1445","SNU719"
"1446","NCC24"
"1447","SNU719"
"1448","NCC24"
"1449","SNU719"
"1450","NCC24"
"1451","NCC24"
"1452","SNU719"
"1453","SNU719"
"1454","SNU719"
"1455","NCC24"
"1456","NCC24"
"1457","NCC24"
"1458","SNU719"
"1459","SNU719"
"1460","NCC24"
"1461","SNU719"
"1462","NCC24"
"1463","NCC24"
"1464","SNU719"
"1465","SNU719"
"1466","NCC24"
"1467","SNU719"
"1468","NCC24"
"1469","NCC24"
"1470","SNU719"
"1471","SNU719"
"1472","NCC24"
"1473","SNU719"
"1474","SNU719"
"1475","SNU719"
"1476","NCC24"
"1477","SNU719"
"1478","SNU719"
"1479","SNU719"
"1480","NCC24"
"1481","SNU719"
"1482","SNU719"
"1483","NCC24"
"1484","NCC24"
"1485","SNU719"
"1486","SNU719"
"1487","SNU719"
"1488","SNU719"
"1489","SNU719"
"1490","SNU719"
"1491","NCC24"
"1492","SNU719"
"1493","SNU719"
"1494","SNU719"
"1495","SNU719"
"1496","SNU719"
